Vocab-sound-local	Sentence-expression	Sentence-meaning
mousugu kono hoomu ni densha ga kimasu	もうすぐこのホームに電車が来ます。	The train will arrive on this platform soon.
kore ha nobori densha desu	これは上り電車です。	This is the train going downtown.
ekiin ni kikimashou	駅員に聞きましょう。	Let's ask the station employee.
koko ha ippou tsuukou desu	ここは一方通行です。	This is a one-way street.
kono toori ha nigiyaka desu ne	この通りはにぎやかですね。	This street is lively, isn't it?
watashi ha jimu ni kayotte imasu	私はジムに通っています。	I go to a gym.
kyou no koutsuu jiko ha zero desu	今日の交通事故はゼロです。	Today there were zero traffic accidents.
kono michi ha kuruma ga ooi	この道は車が多い。	There are many cars on this road.
mainichi kono michi wo toorimasu	毎日、この道を通ります。	I take this road every day.
kono douro ha sannenmae ni dekimashita	この道路は3年前にできました。	This road was completed three years ago.
chizu wo mite kite kudasai	地図を見て来てください。	Please look at the map to get here.
nao ame no baai ha chuushi desu	なお、雨の場合は中止です。	Moreover, it will be canceled in the event of rain.
ashita kara tabako wo yameru tsumori desu	明日からタバコを止めるつもりです。	I'll stop smoking as of tomorrow.
kuruma wo tomete	車を止めて。	Stop the car.
kesa jiko de densha ga tomarimashita	今朝、事故で電車が止まりました。	The train stopped this morning due to an accident.
ame ga yamimashita	雨が止みました。	The rain stopped.
watashi ha mori wo aruku no ga suki desu	私は森を歩くのが好きです。	I like to walk in the forest.
hodou wo arukimashou	歩道を歩きましょう。	Let's walk on the pavement.
chiisa na kawa wo watarimashita	小さな川を渡りました。	I crossed a stream.
kondo ha doko ni ikitai desu ka	今度はどこに行きたいですか。	Where do you want to go this time?
ichido ni sonnani takusan ha dekinai	一度にそんなにたくさんはできない。	You can't do that much at one time.
kono chikaku ni gasorinsutando ha arimasu ka	この近くにガソリンスタンドはありますか。	Is there a gas station nearby?
oba ha chiisa na kaisha no shachou desu	おばは小さな会社の社長です。	My aunt is the president of a small firm.
kono keeburu no nagasa ha ichimeetoru desu	このケーブルの長さは1メートルです。	The length of this cable is one meter.
umi ha hiroku te ookii	海は広くて大きい。	The sea is vast and wide.
watashi ni ha mattaku wakarimasen	私には全く分かりません。	I don't understand at all.
sono guruupu no menbaa ha zenbu de shichinin da	そのグループのメンバーは全部で七人だ。	There are seven members of the group in all.
sono kuni no jinkou ha dono kurai desu ka	その国の人口はどのくらいですか。	What's the population of that country?
sekai jinkou ha rokujuugookunin da	世界人口は65億人だ。	The world's population is 6.5 billion people.
kuro no boorupen ha arimasu ka	黒のボールペンはありますか。	Do you have a black pen?
akachan ni miruku wo ageta	赤ちゃんにミルクをあげた。	I fed the baby some milk.
ginkou ha sanji made aite imasu	銀行は3時まで開いています。	The bank is open until three o'clock.
yuushoku ni gyuuniku wo katta	夕食に牛肉を買った。	I bought beef for dinner.
hikiniku wo nihyakuguramu kudasai	ひき肉を200グラムください。	Please give me 200 grams of ground (beef, chicken, etc.)
niku to sakana to dochira ga suki desu ka	肉と魚とどちらが好きですか。	Which do you prefer, meat or fish?
watashi ha mainichi takusan yasai wo tabemasu	私は毎日たくさん野菜を食べます。	I eat a lot of vegetables every day.
ekimae ni honya ga arimasu	駅前に本屋があります。	There's a bookstore in front of the station.
yaoya de mikan wo kaimashita	八百屋でみかんを買いました。	I bought a tangerine at the grocery store.
sotchi ga watashi no heya desu	そっちが私の部屋です。	That's my room over there.
hiru ha sobaya ni ikimashita 。	昼はそば屋に行きました。	I went to a noodle shop for lunch.
watashi ha tabakoya de raitaa wo katta	私はたばこ屋でライターを買った。	I bought a lighter from the cigarette shop.
heya no denki ga tsuite imasu	部屋の電気がついています。	The room light is on.
watashitachi ha mainichi ocha wo nomimasu	私たちは毎日お茶を飲みます。	We drink tea every day.
ocha wo iremashou ka	お茶を入れましょうか。	Shall I make tea?
chawan ni gohan wo yosoimashita	茶わんにご飯をよそいました。	I put some rice into the rice bowl.
shuumatsu ha uchi de yukkuri shimasu	週末は家でゆっくりします。	On the weekend I relax at home.
resutoran de indo ryouri wo tabemashita	レストランでインド料理を食べました。	I ate Indian food at the restaurant.
goji made ni ie ni kaeru no ha muri desu	5時までに家に帰るのは無理です。	I can't possibly get home by five o'clock.
mou okane ga nakunarimashita	もうお金が無くなりました。	I've run out of money already.
nihongo de sakubun wo kakimashita	日本語で作文を書きました。	I wrote an essay in Japanese.
kono ichigo de jamu wo tsukurimashou	このイチゴでジャムを作りましょう。	Let's make jam from these strawberries.
poteto sarada wo tsukuru kara jagaimo wo katte kite	ポテトサラダを作るから、ジャガイモを買ってきて。	I'm going to make potato salad, so go and buy some potatoes.
uchi de ha mada sutoobu wo tsukatte imasu	うちではまだストーブを使っています。	We still use a heating stove at my house.
kaisha made no koutsuuhi ha ikkagetsu hassen'en desu	会社までの交通費は一ヶ月8,000円です。	Transportation to the company costs 8,000 yen a month.
hi wo keshite	火を消して。	Put the fire out.
kutsuuriba ha doko desu ka	くつ売り場はどこですか。	Where is the shoe department?
kono mise ha saabisu ga ii 。	この店はサービスがいい。	The service in this store is good.
ano mise ni ha nando mo ikimashita	あの店には何度も行きました。	I've been to that shop many times.
kono shouhin ha yoku urete iru	この商品はよく売れている。	This product is selling well.
watashitachi ha nikai ni agatta	私たちは２階に上がった。	We went up to the second floor.
watashi no kaisha ha ano biru no hachikai desu	私の会社はあのビルの8階です。	My company's on the eighth floor of that building.
sankai made esukareetaa de ikimashou	3階までエスカレーターで行きましょう。	Let's take the escalator up to the third floor.
watashitachi ha eki no kaidan wo kakeagatta	私たちは駅の階段をかけ上がった。	We ran up the station steps.
soko no kaidan wo orite kudasai	そこの階段を下りてください。	Please go down those stairs.
kono beruto no nedan ha nisengohyakuen deshita	このベルトの値段は2500円でした。	The price of this belt was 2,500 yen.
nedan ha choudo sanman'en desu	値段はちょうど3万円です。	The price is exactly 30,000 yen.
gasorin no kakaku ga dondon agatte iru	ガソリンの価格がどんどん上がっている。	The price of gasoline keeps going up fast.
kyou ga natsuyasumi saigo no hi da	今日が夏休み最後の日だ。	Today's the last day of summer vacation.
kotoshi no natsu ha kuuraa ga yoku ureta	今年の夏はクーラーがよく売れた。	Air conditioners sold well this summer.
kyou ga natsuyasumi saigo no hi da	今日が夏休み最後の日だ。	Today's the last day of summer vacation.
watashi ha natsuyasumi ni puuru ni itta	私は夏休みにプールに行った。	I went to the pool during summer vacation.
natsu ha hi ga nagai	夏は日が長い。	The days are long in summer.
fuyu ha yoku sukii ni ikimasu	冬はよくスキーに行きます。	We go skiing a lot in winter.
nihon ni ha shiki ga aru	日本には四季がある。	We have four seasons in Japan.
atsui no de kuuraa wo tsukemashita	暑いのでクーラーをつけました。	I turned on the air conditioning because it was hot.
atsui no de aisu wo tabemashita	暑いのでアイスを食べました。	I ate ice cream because it was hot.
soto ha atsuiyo	外は暑いよ。	It's hot outside.
kinou no yoru netsu ga demashita	昨日の夜、熱が出ました。	I had a fever last night.
yatto netsu ga sagatta	やっと熱が下がった。	His fever finally went down.
kono uuru no seetaa ha atatakai	このウールのセーターは暖かい。	This wool sweater is warm.
ima kuruma wo atatameteimasu	今、車を暖めています。	I'm warming up the car now.
mada heya ga atatamaranai。	まだ部屋が暖まらない。	The room hasn't warmed up yet.
kion ha sanjuugodo ni tasshita	気温は35度に達した。	The temperature reached 35 degrees.
ima heya no ondo ha nijuugodo da	今、部屋の温度は25度だ。	This room's temperature is currently 25 degrees.
kyou no kion ha nijuurokudo desu	今日の気温は26度です。	Today's temperature is 26 degrees.
taifuu ga chikazuite iru	台風が近づいている。	The typhoon's getting closer.
anata no jijou ha yoku wakarimashita	あなたの事情はよく分かりました。	I understand your situation well.
atarashii konpyuutaa wo katta	新しいコンピューターを買った。	I bought a new computer.
atarashii kooto de tenisu wo shimashita	新しいコートでテニスをしました。	I played tennis on the new court.
shinnen akemashite omedetou gozaimasu	新年明けましておめでとうございます。	Happy new year.
asoko ni furui otera ga arimasu	あそこに古いお寺があります。	There's an old temple there.
mukashi ha kasettoteepu wo tsukatteimashita 。	昔はカセットテープを使っていました。	I used to use cassette tapes a long time ago.
soko ni choudo ii dai ga aru	そこにちょうど良い台がある。	There's a table that's just right.
anata ha sukoshimo waruku nai	あなたは少しも悪くない。	It's not your fault at all.
sore wo kiite anshin shimashita	それを聞いて安心しました。	I was relieved to hear that.
handobaggu wo wasuremashita	ハンドバッグを忘れました。	I forgot my handbag.
mise ni raitaa wo wasuremashita	店にライターを忘れました。	I forgot my lighter at the shop.
sore ha ii kangae desu	それは良い考えです。	That's a good idea.
toraburu ga yatto kaiketsu shita	トラブルがやっと解決した。	The problem has finally been solved.
tsumari anata ha nani mo shiranai no desu ne	つまり、あなたは何も知らないのですね。	So, basically, you don't know anything.
ano onnanoko wo shitte imasu ka	あの女の子を知っていますか。	Do you know that girl?
nijukkiro no daietto ha kanou da to omoimasu ka	20キロのダイエットは可能だと思いますか。	Do you think it's possible to go on a twenty kilogram diet?
watashi no ie ha eki kara tooku te fuben desu	私の家は駅から遠くて不便です。	My house is inconveniently located far from the station.
yuubinyasan ha mou kimashita ka	郵便屋さんはもう来ましたか。	Has the postman already come?
yuubinkyoku ha atchi desu	郵便局はあっちです。	The post office is that way.
kaji desu hyakujuukyuuban ni denwa shite kudasai	火事です。119番に電話してください。	There's a fire. Please call 119.
asoko no kouban de michi wo kikimashou	あそこの交番で道を聞きましょう。	Let's ask for directions at that police box.
kono bangou ni denwa shite kudasai	この番号に電話してください。	Please call this number.
kinjo ni kanadajin ga sunde iru	近所にカナダ人が住んでいる。	A Canadian lives in my neighborhood.
kono juusho ni itte kudasai	この住所に行ってください。	Please go to this address.
asa kinjo wo burabura shita	朝、近所をぶらぶらした。	I wandered around the neighborhood this morning.
benjo ha soko desu	便所はそこです。	The bathroom is there.
boorupen de namae wo kaite kudasai	ボールペンで名前を書いてください。	Please write your name with a ballpoint pen.
anata no myouji ha nan desu ka	あなたの名字は何ですか。	What's your surname?
roomaji de namae wo kaite kudasai	ローマ字で名前を書いてください。	Please write your name using Roman letters.
koko ni juusho to shimei wo kaite kudasai	ここに住所と氏名を書いてください。	Please write your name and address here.
kono machi ni ha gaijin ga sukunai	この町には外人が少ない。	There are few foreigners in this town.
watashi no ie ha machi no minami ni arimasu	私の家は町の南にあります。	My house is in the south of the town.
toukyou ni kuru no ha hajimete desu 。	東京に来るのは初めてです。	It's the first time I've been to Tokyo.
toukyou ha suidou no mizu ga mazui	東京は水道の水が不味い。	Tap water in Tokyo doesn't taste good.
toukyou ha nihon'ichi ooki na toshi desu	東京は日本一大きな都市です。	Tokyo is the largest city in Japan.
kyou ha tsugou ga warukute ikemasen	今日は都合が悪くて行けません。	I can't go today because it's not convenient for me.
shichiji ni asagohan wo tabemashita	七時に朝御飯を食べました。	I ate breakfast at seven o'clock.
asu no purezenteeshon ga shinpai da	明日のプレゼンテーションが心配だ。	I'm worried about tomorrow's presentation.
eki ni yuujin no miokuri ni ikimashita	駅に友人の見送りに行きました。	I went to the station to see off a friend.
watashi ha nihongo koosu wo totte imasu	私は日本語コースを取っています。	I'm taking a Japanese course.
memo wo totte kudasai	メモを取ってください。	Please take notes.
shatsu no botan ga toreta	シャツのボタンが取れた。	My shirt button came off.
teisshu wo totte kudasai	ティッシュを取ってください。	Please pass me the tissues.
itsugoro natsuyasumi wo torimasu ka	いつごろ夏休みを取りますか。	About when are you going on summer vacation?
hanashi no pointo wo kakitotta	話しのポイントを書き取った。	I wrote down the main points of what was said.
nimotsu ga nakanaka todokimasen	荷物がなかなか届きません。	The parcel still hasn't arrived.
sakki yuubin ga todokimashita	さっき郵便が届きました。	The mail has just arrived.
sonomama omachi kudasai	そのままお待ちください。	Please just wait a bit.
kono kuruma ha yoku motte iru ne	この車はよく持っているね。	This car has lasted a long time.
watashi ha kuroi baggu wo motte imasu	私は黒いバッグを持っています。	I have a black bag.
matchi wo motte imasu ka	マッチを持っていますか。	Do you have a match?
watashi ha bideoteepu wo sanjuppon motte imasu	私はビデオテープを30本持っています。	I have 30 videotapes.
mizu wo motteikimashou	水を持って行きましょう。	Let's take some water with us.
sono isu wo motte kite kudasai	そのいすを持って来てください。	Please bring that chair.
kono sofaa ha kimochi ga ii	このソファーは気持ちがいい。	This sofa is very comfortable.
booru wo kotchi ni nagete kudasai	ボールをこっちに投げてください。	Please throw the ball over here.
sono paateii ni josei ha nannin kimasu ka	そのパーティーに女性は何人来ますか。	How many women are coming to that party?
borudoo ha wain no seisan de yuumei da	ボルドーはワインの生産で有名だ。	Bordeau is famous for wine production.
borudoo ha wain no seisan de yuumei da	ボルドーはワインの生産で有名だ。	Bordeau is famous for wine production.
kono kurasu no seito ha sanjuunin desu	このクラスの生徒は30人です。	There are 30 students in this class.
mise ni gakusei no guruupu ga kita	店に学生のグループが来た。	A group of students came to the shop.
raigetsu kara daigakusei ni narimasu	来月から大学生になります。	I'll be a college student beginning next month.
kyou koujou no kengaku ni ikimashita	今日、工場の見学に行きました。	We went on a field trip to a factory today.
maiasa tsuugaku ni ichijikan kakaru	毎朝、通学に1時間かかる。	It takes me an hour to go to school every morning.
gakusei biza wo motte imasu	学生ビザを持っています。	He has a student visa.
kono arubaito ha gakusei ka desu ne	このアルバイトは「学生可」ですね。	So, students can apply for this part-time job, right?
ie no chikaku ni shougakkou ga arimasu	家の近くに小学校があります。	There's an elementary school near my house.
kono gakkou ha 1 kurasu 30 nin desu 。	この学校は1クラス30人です。	In this school there are 30 people per class.
ano hito ha koukou no kouchou da	あの人は高校の校長だ。	That person is a high school principal.
gakkou ha konshuu ha kyuukou desu	学校は今週は休校です。	School is closed this week.
gakkou ni wasuremono wo shimashita	学校に忘れ物をしました。	I left something behind at school.
kaisha no basho wo oshiete kudasai	会社の場所を教えてください。	Please tell me where the office is.
kono kanji no yomikata wo oshiete kudasai	この漢字の読み方を教えてください。	Please tell me how to read this Chinese character.
yasai ga yoku sodatte iru	野菜がよく育っている。	The vegetables are growing well.
kono sofuto de nihongo wo benkyou suru koto ga dekimasu	このソフトで日本語を勉強することができます。	You can study Japanese with this software.
kyou ha kaze ga tsuyoi desu	今日は風が強いです。	The wind is strong today.
kono uisukii ha tsuyoi yo	このウィスキーは強いよ。	This whisky is strong.
watashitachi ha chuugoku no kaisha to torihiki shite imasu	私たちは中国の会社と取引しています。	We're dealing with a Chinese company.
botan wo oshite kudasai	ボタンを押してください。	Please press the button.
doa wo osaete kudasai	ドアを押さえてください。	Please hold the door.
mukashi piano wo naratte imashita	昔、ピアノを習っていました。	I used to learn the piano.
atarashii ie ni ha mou naremashita ka	新しい家にはもう慣れましたか。	Have you gotten used to the new house yet?
maiasa koohii wo nomu no ga shuukan desu	毎朝コーヒーを飲むのが習慣です。	I'm in the habit of drinking coffee every morning.
shitsumon ha nan desu ka	質問は何ですか。	What's the question?
mondai ga hitotsu arimasu	問題が一つあります。	There's one problem.
sore ha saikin wadai no hon desu ne	それは最近話題の本ですね。	That's the book that people have been talking about lately.
kore ha ooki na shakai mondai ni natte iru	これは大きな社会問題になっている。	This is a major social issue.
kono bubun ha mondai nai desu	この部分は問題ないです。	There's no problem with this part.
kyou ha korera no mondai ni tsuite hanashiaimasu	今日はこれらの問題について話し合います。	We will discuss these issues today.
kono ryouri ha totemo kantan desu	この料理はとても簡単です。	This dish is very easy to make.
kono puroguramu ha totemo fukuzatsu desu	このプログラムはとても複雑です。	This program is very complicated.
ningen no kokoro ha fukuzatsu desu	人間の心は複雑です。	Man's mind is complex.
gaikokugo wo narau no ha muzukashii	外国語を習うのは難しい。	Learning foreign languages is hard.
isu no kazu wo kazoete kudasai	いすの数を数えてください。	Please count the number of chairs.
neji ha hidari ni mawasu to hazuremasu	ねじは左に回すと外れます。	If you turn the screw to the left it will come undone.
watashi ha seerusu wo tantou shite imasu	私はセールスを担当しています。	I'm in charge of sales.
sono hanashi ha hontou desu ka	その話は本当ですか。	Is the story true?
ii houhou wo omoitsukimashita	いい方法を思いつきました。	We hit on a good method.
atarashii houritsu ga dekita	新しい法律ができた。	A new law has been passed.
kyou no shiai ha ii keiken ni narimashita	今日の試合はいい経験になりました。	Today's game was a good experience.
are kara juuyonen ga tachimashita	あれから14年が経ちました。	Fourteen years have passed since then.
daigaku de keizai wo benkyou shimashita	大学で経済を勉強しました。	I studied economics in college.
soko ha kougyou toshi da	そこは工業都市だ。	That's an industrial city.
intaanetto ha totemo benri desu	インターネットはとても便利です。	The Internet is very convenient.
kono koujou de ha eakon wo seizou shite imasu	この工場ではエアコンを製造しています。	This factory manufactures air conditioning units.
watashi ni ha takusan no okane ga hitsuyou da	私にはたくさんのお金が必要だ。	I need a lot of money.
sagyou suru ni ha motto hiroi supeesu ga hitsuyou da	作業するにはもっと広いスペースが必要だ。	I need a bigger space to work.
kono purojiekuto ni ha minna no kyouryoku ga hitsuyou desu	このプロジェクトにはみんなの協力が必要です。	This project requires everyone's cooperation.
kono shatsu ha airon ga hitsuyou da	このシャツはアイロンが必要だ。	This shirt needs ironing.
kono nimotsu no omosa wo hakatte kudasai	この荷物の重さを計ってください。	Please weigh this luggage.
warizan ha shougakkou de naraimasu	割り算は小学校で習います。	Division is learned in elementary school.
ryouri ga takusan nokorimashita	料理がたくさん残りました。	A lot of food was left over.
pen wo kashite kudasai	ペンを貸してください。	Please lend me the pen.
sono hon ha kashidashichuu desu	その本は貸し出し中です。	That book is currently on loan.
keshigomu wo kashite kudasai	消しゴムを貸して下さい。	Please lend me your eraser.
densha ga konde iru	電車が込んでいる。	The train is crowded.
minna watashitachi ni kitai shite imasu	みんな私たちに期待しています。	Everyone has high expectations of us.
tesuto kikan ha tooka kara juugonichi made da	テスト期間は10日から15日までだ。	The test period is from the 10th to the 15th.
ima ha anata ni totte daiji na jiki desu	今はあなたにとって大事な時期です。	It's an important time for you now.
kono saabisu ha shuumatsu ni kagirimasu	このサービスは週末に限ります	This service is limited to weekends.
watashitachi ha eki he isogimashita	私たちは駅へ急ぎました。	We hurried to the station.
kyuuni youji wo omoidashita	急に用事を思い出した。	I suddenly remembered I have something to do.
choudo kyuukou densha ga kita	ちょうど急行電車が来た。	The express train just came.
taisetsu na youji wo omoidashimashita	大切な用事を思い出しました。	I just remembered something important I need to take care of.
kono hasami ha yoku kiremasu ne	このはさみはよく切れますね。	These scissors cut well.
yuubinkyokude kitte wo kaimashita	郵便局で切手を買いました。	I bought a stamp at the post office.
naifu de te wo kitta	ナイフで手を切った。	I cut my hand with a knife.
yuubinkyoku de kitte wo kaimashita	郵便局で切手を買いました。	I bought a stamp at the post office.
chiizu wo hitokire tabemashita	チーズを一切れ食べました。	I ate a slice of cheese.
chiketto ha mou urikire datte	チケットはもう売り切れだって。	The tickets have sold out already.
toukyou made no kippu wo katta	東京までの切符を買った。	I bought a ticket to Tokyo.
nyuujouken ha sanzen'en desu	入場券は3000円です。	The admission ticket is 3,000 yen.
koko no yachin ha juuniman'en desu	ここの家賃は12万円です。	The rent here is 120,000 yen.
ima ha benrisa to supiido no jidai da	今は便利さとスピードの時代だ。	This is the age of convenience and speed.
teikiken ha ichimannisen'en deshita	定期券は1万2千円でした。	The commuter pass was 1,2000 yen.
kyou no yotei wo oshiete kudasai	今日の予定を教えてください。	Please tell me what your schedule is for today.
ashita no tenkiyohou ha ame desu	明日の天気予報は雨です。	Rain is forecast for tomorrow.
karendaa ni yotei wo kaita	カレンダーに予定を書いた。	I wrote my schedule on the calendar.
ashita no yoshuu wo shimashou	明日の予習をしましょう。	Let's prepare for tomorrow.
watashi ha kugatsu ni iku yotei desu	私は九月に行く予定です。	I plan to go in September.
resutoran wo yoyaku shimashita	レストランを予約しました。	I made a reservation at the restaurant.
terebi no channeru wo kaete kudasai	テレビのチャンネルを変えてください。	Please change the TV channel.
kotoshi ha henka no ooi toshi deshita	今年は変化の多い年でした。	There was a lot of change this year.
kuni ha kokugo kyouiku wo kyouka shite imasu	国は国語教育を強化しています。	Our government is strengthening its program in native language education.
watashi ha kono kuni no bunka wo benkyou shite imasu	私はこの国の文化を勉強しています。	I'm studying this country's culture.
kono machi ha jinkou ga fueta	この町は人口が増えた。	The population has increased in this town.
nihon ni sumu gaikokujin ga fuete imasu	日本に住む外国人が増えています。	The number of foreigners living in Japan is increasing.
taijuu ga kanari herimashita	体重がかなり減りました。	I've lost a lot of weight.
saikin shokuji wo herashite imasu	最近、食事を減らしています。	I've been eating less recently.
ame ga futte imasu	雨が降っています。	It's raining.
kurisumasu ni yuki ga furimashita	クリスマスに雪が降りました。	It snowed at Christmas.
moshi ame ga futtara ikimasen	もし雨が降ったら、行きません。	I won't go if it rains.
erebeetaa de shita ni orimashou	エレベーターで下に降りましょう。	Let's take the elevator down.
ashita ha kitto ame ga furimasu	明日はきっと雨が降ります。	I'm sure it'll rain tomorrow.
ame ga zaazaa futte iru	雨がざあざあ降っている。	It's pouring.
ima hoteru ni tsukimashita	今ホテルに着きました。	I arrived at the hotel just now.
kanarazu shiitoberuto wo tsukete kudasai	必ずシートベルトを着けて下さい。	Always wear your seat belt.
yuugata sochira ni tsukimasu	夕方そちらに着きます。	I'll arrive there in the evening.
samukatta no de kooto wo kita	寒かったのでコートを着た。	I put on a coat because it was cold.
kono pajama wo kite	このパジャマを着て。	Put on these pajamas.
yuugata sochira ni tsukimasu	夕方そちらに着きます。	I'll arrive there in the evening.
ame na no de reinkooto wo kimashita	雨なのでレインコートを着ました。	I put on my raincoat because it was raining.
atsui no de uwagi wo nugimashita	暑いので上着を脱ぎました。	I took my jacket off because it was hot.
watashi ha hitobito no yakunitachitai to omotte imasu	私は人々の役に立ちたいと思っています。	I want to be of service to others.
kono seki aitemasu ka	この席、空いてますか。	Is this seat free?
ushiro no seki ga aite imasu	後ろの席が空いています。	The rear seat is empty.
shachou ni kaete buchou wo shusseki sasemasu	社長に代えて部長を出席させます。	I'll have the department manager attend in place of the president.
tsugi ha zenkoku no otenki desu	次は全国のお天気です。	And now for the nation's weather.
tsugi no eki de orimasu。	次の駅で降ります。	I get off at the next station.
jinan ha ima kaigai ni imasu	次男は今、海外にいます。	My second son is abroad now.
uchi no jijo ha haru kara chuugakusei desu	うちの次女は春から中学生です。	Our second daughter is going into junior high this spring.
tsugi no kata douzo	次の方、どうぞ。	Next please.
isu wo nikai ni hakonde kudasai	いすを二階に運んでください。	Please carry the chair to the second floor.
ueetaa ga mizu wo hakonde kimashita	ウェーターが水を運んできました。	The waiter brought some water.
koronde hiza wo uchimashita	転んでひざを打ちました。	I fell down and hit my knee.
torakku wo unten dekimasu ka	トラックを運転できますか。	Can you drive a truck?
watashi ha doubutsu ga daisuki desu	私は動物が大好きです。	I love animals.
narubeku hayaku kite kudasai	なるべく早く来て下さい。	Please come as early as possible.
kore wo sokutatsu de okuritai no desu ga	これを速達で送りたいのですが。	I want to send this by express delivery.
undoukai ha kuji kaishi desu	運動会は9時開始です。	The athletic meet begins at nine o'clock.
rainen kara atarashii seido ga hajimarimasu	来年から新しい制度が始まります。	A new system will start from next year.
saikin kabu wo hajimemashita	最近株を始めました。	I recently started investing in stocks.
tesuto wo hajimete kudasai	テストを始めてください。	Please start the test.
sorosoro hajimemashou ka	そろそろ始めましょうか。	It's about time to begin.
shadou no kouji ga hajimarimashita	車道の工事が始まりました。	The construction of the roadway started.
hajimeni suupu ga demasu	始めにスープが出ます。	Soup is served first.
shigoto ga hobo owarimashita	仕事がほぼ終わりました。	My work is almost finished.
yatto shigoto ga owarimashita	やっと仕事が終わりました。	Finally, I finished my work.
genzai no kion ha sanjuudo desu	現在の気温は30度です。	The current temperature is 30 degrees.
genzai supesharukyanpeen wo jisshichuu desu	現在、スペシャルキャンペーンを実施中です。	A special campaign is now under way.
sore ha subete jijitsu desu ka	それは全て事実ですか。	Is it all true?
tsugi no eki ha tsuuka shimasu	次の駅は通過します。	This train will not stop at the next station.
toki ga sugiru no ha hayai 。	時が過ぎるのは速い。	Time passes quickly.
sore ha kako no hanashi da	それは過去の話だ。	That's in the past now.
kousaten de jiko ga hassei shita	交差点で事故が発生した。	There was an accident at the intersection.
ato juugofun de shuppatsu desu	あと15分で出発です。	Departure will be in fifteen minutes.
basu ga hassha shimasu	バスが発車します。	The bus is leaving.
mousugu kudari no densha ga hassha shimasu	もうすぐ下りの電車が発車します。	The train out of the city leaves soon.
omoteni hito ga kite imasu	表に人が来ています。	Someone has come to the door.
kono hyou wo mite kudasai	この表を見てください。	Please look at this chart.
yuujin kara tegami wo moraimashita	友人から手紙をもらいました。	I got a letter from a friend.
tegami wo posuto ni iremashita	手紙をポストに入れました。	I put the letter in the mailbox.
tegami no henji wo dashimashita	手紙の返事を出しました。	I sent a reply to the letter.
kono e ha gohho no sakuhin da	この絵はゴッホの作品だ。	This painting is one of van Gogh's works.
kono zasshi ha yoku urete imasu	この雑誌はよく売れています。	This magazine sells well.
eki no baiten de zasshi wo katta	駅の売店で雑誌を買った。	I bought a magazine at a shop in the station.
ame no oto ga kikoeru	雨の音が聞こえる。	I can hear the sound of rain.
kouji no oto ga urusai	工事の音がうるさい。	The construction site is noisy.
sukoshi onryou wo sagete kudasai	少し音量を下げてください。	Please turn the volume down a little.
ookina oto ni bikkuri shimashita	大きな音にびっくりしました。	I was startled by a sudden sound.
kono toori ha kuruma no oto ga urusai	この通りは車の音がうるさい。	Traffic is noisy on this street.
hen na oto ga kikoemasu	変な音が聞こえます。	I hear a strange sound.
kono piano ha oto ga amari yoku nai	このピアノは音があまり良くない。	That piano's sound isn't very good.
nihon de no seikatsu ha tanoshii desu	日本での生活は楽しいです。	Life in Japan is fun.
watashi ha ongaku wo kiku no ga suki da	私は音楽を聞くのが好きだ。	I like to listen to music.
dandan shigoto ga tanoshiku natte kimashita	段々仕事が楽しくなってきました。	My work has gradually become more enjoyable.
kono kusuri wo kanarazu nonde kudasai	この薬を必ず飲んでください。	Please be sure to take this medicine.
watashi ha sono uta wo shiranakatta 。	私はその歌を知らなかった。	I didn't know that song.
sono kashu ha uta ga heta da	その歌手は歌が下手だ。	That singer's terrible.
watashi ha uta ga heta da	私は歌が下手だ。	I'm a terrible singer.
kodomo ga juusu wo hoshigatte imasu	子供がジュースを欲しがっています。	My kid wants some juice.
keikaku wo ichibu henkou shimashou	計画を一部変更しましょう。	Let's change part of the plan.
kore ha yuumei na gaka no e desu	これは有名な画家の絵です。	This is a painting by a famous painter.
kyou ha hitoride eiga wo mimasu	今日は一人で映画を見ます。	I saw a movie by myself today.
anata no hanashi ha omoshiroi ne	あなたの話は面白いね。	Your story's interesting.
kono hon ha zenzen omoshiroku nakatta	この本は全然面白くなかった。	This book wasn't interesting at all.
kono hon ha zenzen omoshiroku nakatta	この本は全然面白くなかった。	This book wasn't interesting at all.
konnani omoshiroi hon ha hajimete yonda	こんなに面白い本は初めて読んだ。	I've never read such an interesting book before.
kono kamera ha yoku utsurimasu yo	このカメラはよく写りますよ。	This camera takes good pictures.
shashin ha ii omoide ni narimasu	写真は良い思い出になります。	Photographs make a good souvenir.
michi no mannaka ni hito ga tatte iru	道の真ん中に人が立っている。	Someone is standing in the middle of the road.
soto ha yuki de masshiro datta	外は雪で真っ白だった。	Everything outside was white with snow.
soto ha makkura desu	外は真っ暗です。	It's pitch-dark outside.
inku de te ga makkuro ni natta	インクで手が真っ黒になった	My hands got all black with ink.
sora ga massao desu	空が真っ青です。	The sky is bright blue.
sora ga massao desu	空が真っ青です。	The sky is bright blue.
sono mise ha iroiro na shinamono wo utte iru	その店は色々な品物を売っている。	The shop sells a lot of products.
watashi no suki na iro ha ao desu	私の好きな色は青です。	My favorite color is blue.
dotchi no iro ga suki desu ka 。	どっちの色が好きですか。	Which color do you like?
shiro ha yuki no iro desu	白は雪の色です。	White is the color of snow.
oogata no terebi wo katta	大型のテレビを買った。	We bought a large television.
kore ha juuyou na shorui desu	これは重要な書類です。	This is an important document.
