Vocab-sound-local	Sentence-expression	Sentence-meaning
uchi ha gonin kazoku desu	うちは五人家族です。	We're a family of five.	1
katta banzai	勝った、万歳!	We won--hurray!	1
uchi no choujo ha jussai desu	うちの長女は10歳です。	Our oldest daughter is ten.	1
neesan gomen ne	姉さん、ごめんね。	I'm sorry sis.	1
imouto ha koukou ni kayotte imasu	妹は高校に通っています。	My little sister goes to high school.	1
imouto ha kugatsu ni amerika no daigaku ni nyuugaku shimasu	妹は九月にアメリカの大学に入学します。	My little sister's entering college in the United States in September.	1
imouto ha totemo oshaberi desu	妹はとてもおしゃべりです。	My little sister's very talkative.	1
imouto ha chokoreeto ga daisuki desu	妹はチョコレートが大好きです。	My little sister loves chocolate.	1
imouto ha rainen hatachi ni narimasu	妹は来年、二十歳になります。	My little sister will be 20 next year.	1
ani ha suugaku no sensei desu	兄は数学の先生です。	My big brother's a math teacher.	1
ani ha gorufu wo hajimemashita	兄はゴルフを始めました。	My older brother started playing golf.	1
ani ha arubaito wo shite imasu	兄はアルバイトをしています。	My big brother works part-time.	1
ani ha baiku ga daisuki desu	兄はバイクが大好きです。	My older brother loves motorcycles.	1
watashi no ani ha koora ga suki da	私の兄はコーラが好きだ。	My older brother likes cola.	1
ani ha nikai ni imasu	兄は二階にいます。	My elder brother is on the second floor.	1
niisan omedetou	兄さん、おめでとう。	Congratulations, big brother.	1
otouto ha aisukuriimu ga daisuki desu	弟はアイスクリームが大好きです。	My little brother loves ice cream.	1
anzen ga daiichi desu	安全が第一です。	Safety comes first.	1
musume ga nyuugaku shiken ni goukaku shimashita	娘が入学試験に合格しました。	My daughter passed the university entrance exam.	1
musume ha ima baiorin wo renshuu shite imasu	娘は今、バイオリンを練習しています。	My daughter is practicing the violin now.	1
musume ga pinku no doresu wo kite iru	娘がピンクのドレスを着ている。	My daughter's wearing a pink dress.	1
musume ha gakkou de hikizan wo naratte iru	娘は学校で引き算を習っている。	My daughter's learning subtraction at school.	1
musume ha gakkou de tashizan wo naratta	娘は学校で足し算を習った。	My daughter learned addition in school.	1
musuko ha chuugaku ni kayotte imasu	息子は中学に通っています。	My son goes to junior high.	1
musuko ha chuugakusei desu	息子は中学生です。	My son is a junior high school student.	1
musuko no chuugakkou ha ie kara gofun desu	息子の中学校は家から5分です。	My son's junior high is five minutes from our house.	1
uchi no musuko ha rainen shougakusei ni narimasu	うちの息子は来年、小学生になります。	Our son will start primary school next year.	1
sono mise ha wakai kyaku ga ooi desu	その店は若い客が多いです。	That shop has a lot of young customers.	1
goukakusha ga happyou sareta	合格者が発表された。	Those who passed were announced.	1
saikin no wakamono ha hon wo yomanai	最近の若者は本を読まない。	Young people these days don't read books.	1
kanojo ha amerika no kigyou de hataraite imasu	彼女はアメリカの企業で働いています。	She works in an American company.	1
kare ha hitoritabi no keikaku wo tateta	彼は一人旅の計画を立てた。	He planned a journey alone.	1
kare ha robotto no kenkyuu wo shiteimasu 。	彼はロボットの研究をしています。	He is doing research on robots.	1
kare ha pasokon wo nidai motte imasu	彼はパソコンを2台持っています。	He has two personal computers.	1
akiraka ni kare ga warui	明らかに彼が悪い。	It's clearly his fault.	1
kare ha shokuhin koujou de hataraite imasu	彼は食品工場で働いています。	He's working at the food factory.	1
kare ga kurasu no daihyou da	彼がクラスの代表だ。	He's the class representative.	1
kare ha nouryoku no aru shain desu	彼は能力のある社員です。	He's a resourceful employee.	1
kare ha motto undou shita hou ga ii	彼はもっと運動した方がいい。	He should exercise more.	1
kare ha watashi no youkyuu ni kotaeta	彼は私の要求にこたえた。	He answered my demands.	1
kare ha sono keikaku wo jikkou shita	彼はその計画を実行した。	He executed the plan.	1
kanojo ha nimotsu wo matomete dete itta	彼女は荷物をまとめて出て行った。	She packed her luggage and left.	1
kanojo ha messeeji wo nokoshimashita	彼女はメッセージを残しました。	She left a message.	1
kare ha ajia no gengo wo kenkyuu shite iru	彼はアジアの言語を研究している。	He's doing research in Asian languages.	1
kare ha kaigai de kyouiku wo ukemashita	彼は海外で教育を受けました。	He received his education abroad.	1
watashitachi ha kare wo kazoku douyou ni omotte iru	私たちは彼を家族同様に思っている。	We think of him just like family.	1
kanojo ha touji mada sansai datta	彼女は当時、まだ3才だった。	She was only three years old at the time.	1
kare ha kaigai de no seikatsu ga nagai desu	彼は海外での生活が長いです。	He's lived abroad for a long time.	1
kare ha yoku eiga wo mimasu	彼はよく映画を見ます。	He often watches movies.	1
kare ha kikoku shimashita	彼は帰国しました。	He returned to his country.	1
kesa kanojo ha gakkou ni okuremashita	今朝彼女は学校に遅れました。	She was late for school this morning.	1
kanojo ha atarashii kaisha ni utsutta	彼女は新しい会社に移った。	She moved to a new company.	1
kanojo ha ryokou ga suki desu	彼女は旅行が好きです。	She likes traveling.	1
kare ha manshon ni sunde imasu	彼はマンションに住んでいます。	He lives in an apartment.	1
kanojo ha sannin no ko wo sodatemashita	彼女は三人の子を育てました。	She raised three children.	1
kanojo ha akarui seikaku desu	彼女は明るい性格です。	She has a cheerful personality.	1
kare ni bideo wo karimashita	彼にビデオを借りました。	I borrowed a video from him.	1
kare ha keeki ni rousoku wo tateta	彼はケーキにろうそくを立てた。	He stuck the candles into the cake.	1
kare ha apaato ni sunde imasu	彼はアパートに住んでいます。	He lives in an apartment.	1
kare no chounan ha hassai desu	彼の長男は8才です。	His oldest son is eight years old.	1
kanojo ha kuroi doresu wo kite imasu	彼女は黒いドレスを着ています。	She's wearing a black dress.	1
kare kara meeru wo uketorimashita	彼からメールを受け取りました。	I got an email from him.	1
kare ni tegami wo watashimashita	彼に手紙を渡しました。	I handed him the letter.	1
kare ha uriage wo gurafu ni shita	彼は売上をグラフにした。	He made a chart of the sales figures.	1
kanojo ha rajio wo kiite imasu	彼女はラジオを聞いています。	She's listening to the radio.	1
kare ha sannin kyoudai desu	彼は3人兄弟です。	He has two siblings.	1
kare ha takushii no untenshu desu	彼はタクシーの運転手です。	He's a taxi driver.	1
kare ga gaikoku ni iku no wo miokurimashita	彼が外国に行くのを見送りました。	I saw him off on his trip overseas.	1
kare no yousu ga okashii	彼の様子がおかしい。	He's acting strange.	1
kare no ie ni nimotsu wo okurimashita	彼の家に荷物を送りました。	I sent a package to his house.	1
watashi ha kare ni hon wo kashite imasu	私は彼に本を貸しています。	I'm lending him the book.	1
kanojo ha ningyou wo takusan motte imasu	彼女は人形をたくさん持っています。	She has a lot of dolls.	1
kare ha ginmedaru wo totta	彼は銀メダルを取った。	He got the silver medal.	1
kore wo kare ni todokete kudasai	これを彼に届けてください。	Please send this to him.	1
kare ha kanemochi desu	彼は金持ちです。	He's rich.	1
kare ha booru wo nageta	彼はボールを投げた。	He threw the ball.	1
kare ha ootobai ni notte iru	彼はオートバイに乗っている。	He rides a motorcycle.	1
kare ha karate wo naratte imasu	彼は空手を習っています。	He's learning karate.	1
kanojo ha hidarite de ji wo kaku	彼女は左手で字を書く。	She writes left-handed.	1
kanojo ha kimono ga yoku niaimasu	彼女は着物がよく似合います。	She looks good in a kimono.	1
kare to chikaku no eigakan ni ikimashita	彼と近くの映画館に行きました。	I went to a nearby movie theater with him.	1
kare ha kaarajio no suitchi wo ireta	彼はカーラジオのスイッチを入れた。	He hit the switch on his car radio.	1
karera ha yoku tenisu wo shite imasu	彼らはよくテニスをしています。	They often play tennis.	1
kare no hanashi ha okashikatta	彼の話はおかしかった。	His story was funny.	1
kare ha majime na hito desu	彼は真面目な人です。	He's a serious-minded person.	1
kanojo ha sono seminaa ni moushikonda	彼女はそのセミナーに申し込んだ。	She registered for that workshop.	1
kanojo ha baiorin wo naratte imasu	彼女はバイオリンを習っています。	She's learning the violin.	1
kare ha shinbun haitatsu wo shite iru	彼は新聞配達をしている。	He's delivering newspapers.	1
watashi ha kare no arubamu wo mita	私は彼のアルバムを見た。	I saw his album.	1
kanojo ha amari sukaato ha hakanai	彼女はあまりスカートははかない。	She doesn't wear skirts very often.	1
kanojo no ie ni ha mono ga takusan arimasu	彼女の家には物がたくさんあります。	There are a lot of things in her house.	1
konoaida kanojo ni atta	この間彼女に会った。	I met her the other day.	1
kanojo ha dansu ga daisuki desu	彼女はダンスが大好きです。	She loves to dance.	1
kare ha mainichi pachinko wo shite imasu	彼は毎日パチンコをしています。	He plays pachinko every day.	1
kare no hanashi ha tsumaranai desu ne	彼の話はつまらないですね。	What he's talking about is boring.	1
kare ha sono kanji no kakikata ga wakaranai	彼はその漢字の書き方が分からない。	He doesn't know how to write that Chinese character.	1
kanojo ha suchuwaadesu ni natta	彼女はスチュワーデスになった。	She's become a flight attendant.	1
kare ha shiroi waishatsu wo kite iru	彼は白いワイシャツを着ている。	He's wearing a white shirt.	1
kanojo ha shiroi burausu wo kite iru	彼女は白いブラウスを着ている。	She's wearing a white blouse.	1
kare ha sutereo de ongaku wo kiita	彼はステレオで音楽を聞いた。	He's listening to music on the stereo.	1
kanojo ha hayakuchi da	彼女は早口だ。	She talks quickly.	1
kare ha iroiro na koto wo shitte iru	彼は色々なことを知っている。	He knows about a lot of things.	1
kare ha kuruma kara nimotsu wo oroshita	彼は車から荷物を降ろした。	He unloaded the luggage from the car.	1
kanojo ha itsumo nikoniko shite imasu	彼女はいつもにこにこしています。	She's always smiling.	1
kanojo ha shatsu ni airon wo kaketa	彼女はシャツにアイロンをかけた。	She ironed the shirt.	1
kanojo ha suteki na iyaringu wo shite iru	彼女はすてきなイヤリングをしている。	She's wearing wonderful earrings.	1
mukashi ha kanojo no koto wo gaarufurendo to itte imashita	昔は彼女のことをガールフレンドと言っていました。	"We used to call girlfriends ""garufurendo."""	1
kanojo ni au to dokidoki shimasu	彼女に会うとどきどきします。	I feel nervous when I meet her.	1
ototoi kare kara denwa ga arimashita	一昨日彼から電話がありました。	There was a phone call from him the day before yesterday.	1
kanojo ha doitsugo ga perapera desu	彼女はドイツ語がぺらぺらです。	She speaks German fluently.	1
kare ni eameeru wo okurimashita	彼にエアメールを送りました。	I sent him a letter by airmail.	1
kare ha te ni yakedo wo shimashita	彼は手にやけどをしました。	He burned his hand.	1
watashi no kanojo ha totemo otonashii desu	私の彼女はとても大人しいです。	My girlfriend's very quiet.	1
kare ha hitomae da to agatte shimau	彼は人前だと上がってしまう。	He gets nervous in front of other people.	1
kare ha karate wo naratte imasu	彼は空手を習っています。	He's learning karate.	1
kanojo ha kin no nekkuresu wo shite imasu	彼女は金のネックレスをしています。	She's wearing a gold necklace.	1
kare ha watashi yori toshiue desu	彼は私より年上です。	He's older than me.	1
kare ha hirusugi ni kimasu	彼は昼過ぎに来ます。	He'll come after lunch.	1
fairu wo ketsugou shite hitotsu ni shimashita	ファイルを結合して1つにしました。	I consolidated the files into just one.	1
watashitachi ha raigetsu kekkon shimasu 。	私たちは来月結婚します。	We will get married next month.	1
watashitachi ha kyoukai de kekkonshiki wo shimashita	私たちは教会で結婚式をしました。	We had our wedding in a church.	1
sengetsu tomodachi no kekkonshiki ga atta	先月、友達の結婚式があった。	My friend's wedding was held last month.	1
shiai no kekka wo hayaku shiritai	試合の結果を早く知りたい。	I want to know soon the results of the game.	1
dezaato ni kudamono wo tabemashou	デザートに果物を食べましょう。	Let's have fruit for dessert.	1
natsuyasumi no kadai ha nan desu ka	夏休みの課題は何ですか。	What's our summer assignment?	1
ima kara ka no miiteingu ga aru	今から課のミーティングがある。	Our division is going to have a meeting now.	1
kare ha uta de jibun no kimochi wo hyougen shita	彼は歌で自分の気持ちを表現した。	He expressed his feelings in song.	1
kanojo ha jibun no tachiba wo wakatte inai	彼女は自分の立場を分かっていない。	She doesn't understand her position.	2
akachan ga jidousha no omocha de asonde iru	赤ちゃんが自動車のおもちゃで遊んでいる。	The baby's playing with the toy car.	1
jitensha ha benri na norimono desu	自転車は便利な乗り物です。	Bicycles are a convenient form of transport.	1
asu ha jishuu no jikan ga aru	明日は自習の時間がある。	I have study time tomorrow.	1
okureta riyuu wo oshiete kudasai	遅れた理由を教えてください。	Please tell me why you were late.	1
kyou ha jiyuu na jikan ga ooi	今日は自由な時間が多い。	I have a lot of free time today.	1
shingou ga ao ni kawarimashita。	信号が青に変わりました。	The traffic light turned green.	1
kare ha kirisuto wo shinjite iru	彼はキリストを信じている。	He believes in Christ.	1
shingou ga ao ni natta	信号が青になった。	The traffic light turned green.	1
shingou ga aka ni kawarimashita	信号が赤に変わりました。	The traffic light changed to red.	1
watashi ha hanbaagaa wo tanomimashita	私はハンバーガーを頼みました。	I ordered a hamburger.	1
shimin no anzen ha taisetsu da	市民の安全は大切だ。	The citizens' safety is important.	1
kaigi de juuyou na kettei ga arimashita	会議で重要な決定がありました。	An important decision was made at the conference.	1
kinou no kaigi ni tsuite houkoku ga arimasu	昨日の会議について報告があります。	There's a report about yesterday's conference.	1
kare ha kokkai giin desu	彼は国会議員です。	He's a congressman.	1
kyou no gogo daiji na kaigi ga arimasu	今日の午後、大事な会議があります。	There's an important meeting this afternoon.	1
kaigi de zen'in ga hatsugen shita	会議で全員が発言した。	Everyone spoke at the conference.	1
gogo ha kaigi ni shusseki shimasu	午後は会議に出席します。	I'll attend a meeting in the afternoon.	1
kaigi de shorui no kopii wo kubatta	会議で書類のコピーを配った。	I handed out copies of the document at the meeting.	1
kaigi de shorui wo kubatta	会議で書類を配った。	I handed out the document at the meeting.	1
hirumae ni kaigi ga atta	昼前に会議があった。	There was a meeting in the morning.	1
damu no kaihatsu ni juumin ha hantai shite imasu	ダムの開発に住民は反対しています。	The residents are against the development of the dam.	1
sono nisha ha tairitsu shite imasu	その2社は対立しています。	The two companies are against each other.	1
kare ni taisuru mikata ga kawarimashita	彼に対する見方が変わりました。	My view of him has changed.	1
watashi ha hantai desu	私は反対です。	I'm against it.	1
sono shitsumon ni taisuru kotae ga mitsukaranakatta	その質問に対する答えが見つからなかった。	I couldn't find an answer to that question.	1
yoku kotae ga wakarimashita ne	よく答えが分かりましたね。	You did well in coming up with the answer.	1
kare ha tomodachi no kotae wo utsushita	彼は友達の答えを写した。	He copied down his friend's answers.	1
kare ha sono mondai no kotae ga wakaranai	彼はその問題の答えが分からない。	He doesn't know the answer to the problem.	1
tokuni shitsumon ha arimasen	特に質問はありません。	I don't particularly have any questions.	1
toukyou made tokkyuu de sanjikan kakarimasu	東京まで特急で3時間かかります。	It takes three hours to Tokyo by special express.	1
anata ha watashi ni totte tokubetsu na hito desu	あなたは私にとって特別な人です。	You're special to me.	1
betsubetsu ni haraimashou	別々に払いましょう。	Let's get separate checks.	1
eki de tomodachi to wakaremashita	駅で友だちと別れました。	I parted with my friend at the station.	1
ippan no kata ha kochira no seki he douzo	一般の方はこちらの席へどうぞ。	General seating is over here.	1
kare ga kita mokuteki ga wakarimasen	彼が来た目的が分かりません。	I don't know the purpose of his visit.	1
nihon no jidousha sangyou ha sekaiteki ni yuumei da	日本の自動車産業は世界的に有名だ。	The Japanese auto industry is famous worldwide.	1
kanojo ha futsuu no onna no ko da	彼女は普通の女の子だ。	She's just a normal girl.	1
koko ni narande kudasai	ここに並んでください。	Please line up here.	1
watashi ha ryouri wo teeburu ni narabeta	私は料理をテーブルに並べた。	I arranged the food on the table.	1
teeburu no ue ni gochisou ga narande iru	テーブルの上にごちそうが並んでいる。	There are some delicious treats lined up on the table.	1
kono kuni ha heiwa desu	この国は平和です。	This country is peaceful.	1
byouin ha doko desu ka	病院はどこですか。	Where is the hospital?	1
kinou haha ga nyuuin shimashita	昨日、母が入院しました。	My mother was hospitalized yesterday.	1
netsu ga aru no de oishasan ni itta	熱があるのでお医者さんに行った。	I went to the doctor because I had a fever.	1
atarashii haburashi ga hitsuyou da	新しい歯ブラシが必要だ。	I need a new toothbrush.	1
nihongo no kyoukasho wo wasureta	日本語の教科書を忘れた。	I forgot my Japanese textbook.	1
ototoi mukashi no yuujin ga nakunatta	おととい、昔の友人が亡くなった。	An old friend died the day before yesterday.	1
hiruma ha shigoto de isogashii desu	昼間は仕事で忙しいです。	I'm busy with work in the daytime.	1
watashi ha tsukarete furafura desu	私は疲れてふらふらです。	I'm tired and feel dizzy.	1
watashi ha tsukarete furafura desu	私は疲れてふらふらです。	I'm tired and feel dizzy.	1
kare ha ima kin'en shite imasu	彼は今、禁煙しています。	He's stopped smoking now.	1
kare ha tada no yopparai desu	彼はただの酔っ払いです。	He's nothing but a drunk.	1
yuube ha yopparaimashita	昨夜は酔っ払いました。	I got drunk last night.	1
koohii wo mou ippai kudasai	コーヒーをもう一杯ください。	Please give me another cup of coffee.	1
watashi ha maiasa koppu ippai no mizu wo nomu	私は毎朝コップ一杯の水を飲む。	I drink a glass of water every morning.	1
sono michi ha kuruma ga ookute abunai	その道は車が多くて危ない。	There are many cars on that road, so it's dangerous.	1
kono kappu ha purasuchikku desu	このカップはプラスチックです。	This cup is plastic.	1
watashitachi ha sono kaisha ni chuumoku shite iru	私たちはその会社に注目している。	We have our eyes on that company.	1
resutoran de piza wo chuumon shimashita	レストランでピザを注文しました。	I ordered pizza at the restaurant.	1
sore ha douiu imi desu ka	それはどういう意味ですか。	What does that mean?	1
anata no iken ga kikitai desu	あなたの意見が聞きたいです。	I want to hear your opinion.	1
kore ha watashi kojin no iken desu	これは私個人の意見です。	This is my personal opinion.	1
kuruma ni chuui shite kudasai	車に注意してください。	Please watch out for traffic.	1
shokuji no youi ga dekimashita	食事の用意ができました。	The meal is ready.	1
guruupu no naka de iken ga wakaremashita	グループの中で意見が分かれました。	Opinion was divided within the group.	1
mou ichido yoyaku wo kakunin shita	もう一度、予約を確認した。	I confirmed my reservation one more time.	1
kono sofuto ni ha iroirona kinou ga arimasu	このソフトにはいろいろな機能があります。	This software has a lot of various features.	1
sarada no zairyou wo soroemashita	サラダの材料をそろえました。	I have all the ingredients for the salad.	1
heya no kagu wo ugokashimashita	部屋の家具を動かしました。	I moved the furniture in the room.	1
kono hanashi ha shinjitsu ni motozuite imasu	この話は真実に基づいています。	This story is based on truth.	1
ima jazu dansu no kihon wo naratte imasu	今、ジャズダンスの基本を習っています。	We're learning the basics of jazz dance at the moment.	1
asu no kaigi no junbi wo shita	明日の会議の準備をした。	I prepared for tomorrow's meeting.	1
sono hoteru ni ha rejaa shisetsu ga takusan aru	そのホテルにはレジャー施設がたくさんある。	There are a lot of leisure facilities in the hotel.	1
kono tango no imi wo setsumei shite kudasai	この単語の意味を説明してください。	Please tell me the meaning of this word.	1
sono eiga ha kyou koukai saremasu	その映画は今日、公開されます。	The movie opens to the public today.	1
kodomotachi ga kouen de asonde iru	子供たちが公園で遊んでいる。	The children are playing in the park.	1
kinou kodomotachi to doubutsuen ni ikimashita	昨日子供たちと動物園に行きました。	I went to the zoo with my kids yesterday.	1
kono yuuenchi no chiketto ha sanzen'en desu	この遊園地のチケットは3000円です。	The tickets for this amusement park are 3000 yen.	1
deeto de yuuenchi ni ikimashita	デートで遊園地に行きました。	I went on a date to an amusement park.	1
hiruyasumi ni kouen ni itta	昼休みに公園に行った。	I went to the park at lunchtime.	1
kanojo ha matsuri ga daisuki desu 。	彼女は祭りが大好きです。	She loves festivals.	1
koko de kokusai kaigi ga hirakaremasu	ここで国際会議が開かれます。	An international conference is going to be held here.	1
hikouki ga ichijikan ijou okureta	飛行機が1時間以上遅れた。	The plane arrived over an hour late.	1
basu ga hikoujou ni tsukimashita	バスが飛行場に着きました。	The bus arrived at the airport.	1
jiettoki ga tonde iru	ジェット機が飛んでいる。	The jet plane is flying.	1
koukuubin de shorui ga todokimashita	航空便で書類が届きました。	The document reached me by airmail.	1
kore ha sekai saidai no fune desu	これは世界最大の船です。	This is the world's largest ship.	1
ani ha fune no sekkei wo shite imasu	兄は船の設計をしています。	My big brother is designing a ship.	1
tooku ni fune ga miemasu	遠くに船が見えます。	I can see a ship in the distance.	1
chiisa na fune ga kawa wo kudatte imasu	小さな船が川を下っています。	A small ship is going down the river.	1
amerika no yuujin kara funabin ga todoita	アメリカの友人から船便が届いた。	Something arrived by surface mail from my friend in the United States.	1
watashitachi ha fune ni notta	私たちは船に乗った。	We got on the ship.	1
kuukou made rimujin basu de itta	空港までリムジンバスで行った。	I went to the airport by shuttle bus.	1
minato ni fune ga tsukimashita	港に船が着きました。	The ship arrived at the port.	1
nippon ha shimaguni desu	日本は島国です。	Japan is an island nation.	1
atarashii hoomupeeji ga kansei shita	新しいホームページが完成した。	We finished our new home page.	1
zentai no hachijuppaasento ga kansei shimashita	全体の80パーセントが完成しました。	80 percent of the total was completed.	1
kanojo ha heisei sannen umare desu	彼女は平成3年生まれです。	She was born in Heisei Year 3 (1991).	1
tsuini jikken ga seikou shita	ついに実験が成功した。	The experiment finally succeeded.	1
konojiko no gen'in ha nan desu ka	この事故の原因は何ですか。	What's the cause of the accident?	1
watashi ha yottsu no kaisha ni toushi shite imasu	私は4つの会社に投資しています。	I'm investing in four companies.	1
moushikomu ni ha ittei no shikaku ga iru	申し込むには一定の資格が要る。	You need certain qualifications to apply.	1
kongo tomo yoroshiku onegai shimasu	今後ともよろしくお願いします。	I look forward to working with you in the future.	1
kare ga genki ni naru you negatte imasu	彼が元気になるよう願っています。	We're praying that he gets well.	1
kare ni chokusetsu onegai shinasai	彼に直接お願いしなさい。	Ask him directly.	1
shiharai ha kaado de onegai shimasu	支払いはカードでお願いします。	Please pay by card.	1
yoroshiku onegai shimasu	よろしくお願いします。	My best regards.	1
kare no keisan ha seikaku desu	彼の計算は正確です。	His calculation is accurate.	1
sore ha tadashii kotae desu	それは正しい答えです。	That's the correct answer.	1
oshougatsu ni ha iroiro na asobi wo shimasu	お正月には色々な遊びをします。	We play a lot of games at New Year's.	1
kanojo ha totemo shoujiki da	彼女はとても正直だ。	She's very honest.	1
kare to watashi ha itsumo iken ga kotonaru	彼と私はいつも意見が異なる。	He and I always have different opinions.	1
tsuujou ha yoru hachiji made eigyou shite imasu	通常は夜8時まで営業しています。	We're usually open until eight o'clock at night.	1
kare ha hijou ni takai gijutsu wo motte iru	彼は非常に高い技術を持っている。	He has very advanced skills.	1
kore ha hijou ni juuyou desu	これは非常に重要です。	This is very important.	1
kare ha yoi tokoro dake wo kyouchou shita	彼は良いところだけを強調した。	He only emphasized the strong points.	1
kare ha yoi tokoro dake wo kyouchou shita	彼は良いところだけを強調した。	He only emphasized the strong points.	1
watashi no ichiban suki na kisetsu ha haru desu	私の一番好きな季節は春です。	My favorite season is spring.	1
watashitachi ga sono mondai wo chousa shite imasu	私たちがその問題を調査しています。	We're investigating that problem.	1
kare ga paateii kaijou wo teikyou shite kuremashita	彼がパーティー会場を提供してくれました。	He provided us with the venue for the party.	1
sono aidea ha kare no teian desu	そのアイデアは彼の提案です。	He's the one who proposed that idea.	1
watashi ga naka wo goannai shimasu	私が中をご案内します。	I'll show you around inside.	1
watashi mo tsurete itte kudasai	私も連れて行ってください。	Please take me along.	1
musuko ga tomodachi wo tsurete kimashita	息子が友達を連れて来ました。	My son brought a friend.	1
shigoto wo tsuzukete kudasai	仕事を続けてください。	Please continue working.	1
sakki no hanashi wo tsuzukemashou	さっきの話を続けましょう。	Let's continue the conversation we had earlier.	1
tsuzuki ha raishuu yarimashou	続きは来週やりましょう。	Let's continue next week.	1
mazu aite no ugoki wo mimashou	まず相手の動きを見ましょう。	First, watch your opponent's moves.	1
soudan shitai koto ga arimasu	相談したいことがあります。	I'd like to get your advice on something.	1
watashi ha isha ni soudan shita	私は医者に相談した。	I consulted the doctor.	1
kare ha shinbun kisha desu	彼は新聞記者です。	He's a newspaper journalist.	1
ane ha maiban nikki wo kaite imasu	姉は毎晩日記を書いています。	My older sister writes in her diary every evening.	1
marason de sekai kiroku ga deta	マラソンで世界記録が出た。	There was a new world record in the marathon.	1
kanojo ha sono kaiwa wo teepu ni rokuon shita	彼女はその会話をテープに録音した。	She recorded the conversation on tape.	1
sono mondai ni kansuru kiji wo yomimashita	その問題に関する記事を読みました。	I read an article about the problem.	1
kanren no sekushon he renraku shita	関連のセクションへ連絡した。	I contacted the related sections.	1
kono joukyou de ha shuppatsu ha muzukashii desu	この状況では出発は難しいです。	It will be difficult to depart in these conditions.	1
koko ha michi no joutai ga totemo warui desu	ここは道の状態がとても悪いです。	The road is in a very bad state here.	1
kega ha mou naorimashita ka	けがはもう治りましたか。	Is your injury better yet?	1
watashi ha seiji ni kanshin ga aru	私は政治に関心がある。	I'm interested in politics.	1
sono demo ni tsuite seifu ha nanimo shinakatta	そのデモについて政府は何もしなかった。	The government didn't do anything about the demonstration.	1
tou no daihyou ga shitsumon ni kotaemashita	党の代表が質問に答えました。	The party spokesman answered the question.	1
atarashii seisaku ha amari ii to ha omoemasen	新しい政策はあまり良いとは思えません。	I don't think the new policy is very good.	1
yoi ie wo erabu no ha muzukashii	良い家を選ぶのは難しい。	It's difficult to choose a good house.	1
kare ha puro no sakkaa senshu da	彼はプロのサッカー選手だ。	He's a professional soccer player.	1
karera ha basuketto no senshu desu	彼らはバスケットの選手です。	They're basketball players.	1
kare ha sakkaa no senshu desu	彼はサッカーの選手です。	He's a soccer player.	1
ane ha basukettobooru no senshu desu	姉はバスケットボールの選手です。	My big sister's a basketball player.	1
kare ha senkyo ni deru tsumori da	彼は選挙に出るつもりだ。	He intends to run in the election.	1
kaichou no kouho ha sannin imasu	会長の候補は3人います。	There are three candidates for chairman.	1
ima no shushou ha amari chikara ga nai	今の首相はあまり力がない。	The current Prime Minister doesn't have much power.	1
toukyou ha nippon no shuto desu	東京は日本の首都です。	Tokyo is the capital of Japan.	1
kanojo ha kubi ni mafuraa wo maite ita	彼女は首にマフラーをまいていた。	She was wearing a scarf around her neck.	1
booru ga kare no atama ni atatta	ボールが彼の頭に当たった。	The ball hit him on the head.	1
kesa kara atama ga itai	今朝から頭が痛い。	I've had a headache since this morning.	1
kare no kao ha makka deshita	彼の顔は真っ赤でした。	His face was red.	1
watashi ha taoru de kao wo fuita	私はタオルで顔をふいた。	I wiped my face with a towel.	1
kare ha gyousei wo kaikaku shitai to omotte iru	彼は行政を改革したいと思っている。	He wants to reform the administration.	1
kawa no beruto wo kaimashita	革のベルトを買いました。	I bought a leather belt.	1
watashi ha kono bangumi ga suki desu	私はこの番組が好きです。	I like this show.	1
sono rajio bangumi ha mou rokuon shimashita	そのラジオ番組はもう録音しました。	I've already recorded that radio show.	1
kare ha aru soshiki no riidaa da	彼はある組織のリーダーだ。	He's the leader of a certain organization.	1
mae ni susunde kudasai	前に進んでください。	Please move forward.	1
kagaku ha tsuneni shinpo shite iru	科学は常に進歩している。	Science is always advancing.	1
kanojo ha rainen daigaku ni shingaku suru	彼女は来年、大学に進学する。	She'll enter college next year.	1
kare ha daigakuin ni susumimashita	彼は大学院に進みました。	He's gone on to graduate school.	1
kono zu wo kakudai kopii shite kudasai	この図を拡大コピーしてください。	Please make an enlargement of this chart.	1
kono tango no imi wo jisho de shirabemashou	この単語の意味を辞書で調べましょう。	Let's look up the meaning of this word in the dictionary.	1
kare ha shippai no sekinin wo totte kaisha wo yameta	彼は失敗の責任を取って、会社を辞めた。	He took responsibility for the mistake and resigned from the company.	1
kare ha kaisha wo yamemasu	彼は会社を辞めます。	He's leaving the company.	1
kanojo ha jisho wo yoku tsukaimasu	彼女は辞書をよく使います。	She often uses the dictionary.	1
kare ha chiisa na kaisha ni tsutomete imasu	彼は小さな会社に勤めています。	He's working for a small business firm.	1
kare ha taishikan ni tsutomete imasu	彼は大使館に勤めています。	He's working for the embassy.	1
watashi ha chikatetsu de tsuukin shite imasu	私は地下鉄で通勤しています。	I commute to work by subway.	1
maiasa tsuukin ni sanjuppun kakarimasu	毎朝、通勤に30分かかります。	It takes thirty minutes to commute every morning.	1
oji ha ginkou ni tsutomete imasu	おじは銀行に勤めています。	My uncle works for a bank.	1
watashi ha ginkou ni tsutomete imasu	私は銀行に勤めています。	I'm working for a bank.	1
atode jimusho ni kite kudasai	後で事務所に来てください。	Please come to the office later.	1
